Second,Latency,Throughput,Loss,CongestionWindow,RTT,SendingRate
0,,0,0,,,
1,,0,0,,,
2,,0,0,,,
3,,0,0,,,
4,,0,0,,,
5,0.00017581983301206755,3184331,0,279.8537799909461,,3184331.0
6,0.0001351649894823066,10670312,0,251.0,,10670312.0
7,0.00016469964163100465,8711168,0,251.0,,8711168.0
8,0.00019854750006171413,7289232,0,251.0,,7289232.0
9,0.00029497929578702124,4894240,0,251.0,,4894240.0
10,0.0007080274427181126,1909912,0,251.0,,1909912.0
11,0.0013480978510633085,858664,0,251.0,,858664.0
12,0.0014468225080575515,970160,0,251.0,,970160.0
13,0.001948098943691061,716760,0,251.0,,716760.0
14,0.0029265016227330324,479288,0,251.0,,479288.0
15,0.0030998917052540154,453224,0,251.0,,453224.0
16,0.00046779168065202824,2966952,0,251.0,,2966952.0
17,0.0003139808596042175,4606088,0,251.0,,4606088.0
18,0.00027662618121899833,5218592,0,251.0,,5218592.0
19,0.0002620788354718303,5508192,0,251.0,,5508192.0
20,0.0002769722151318943,5207008,0,251.0,,5207008.0
21,0.0003756173524652417,3785072,0,251.0,,3785072.0
22,0.000348972494090355,3628688,0,251.0,,3628688.0
23,0.0003440882419717723,4199200,0,251.0,,4199200.0
24,0.00030916634763010297,4630704,0,251.0,,4630704.0
25,0.00029186115230649335,4839216,0,251.0,,4839216.0
26,0.00031188190282888746,4610432,0,251.0,,4610432.0
27,0.00039274504062215333,3663440,0,251.0,,3663440.0
28,0.00034627493446305016,4165896,0,251.0,,4165896.0
29,0.0002809848344332743,5134608,0,251.0,,5134608.0
30,0.0002829945641183622,5081032,0,251.0,,5081032.0
31,0.00027779326813049825,5202664,0,251.0,,5202664.0
32,0.0002991772537183492,4607536,0,251.0,,4607536.0
33,0.00037997433993594055,3602624,0,251.0,,3602624.0
34,0.00029415391244978274,4911616,0,251.0,,4911616.0
35,0.00029440682022659865,4887000,0,251.0,,4887000.0
36,0.00028164629208839544,5124472,0,251.0,,5124472.0
37,0.00027785347957237096,5167912,0,251.0,,5167912.0
38,0.0003838102361382116,3738736,0,251.0,,3738736.0
39,0.0002961547586558188,4856592,0,251.0,,4856592.0
40,0.000299621057939959,4821840,0,251.0,,4821840.0
41,0.00029777659886125207,4795776,0,251.0,,4795776.0
42,0.00027280958863650184,5254792,0,251.0,,5254792.0
43,0.00029300212018134805,4918856,0,251.0,,4918856.0
44,0.0005929499864578247,2432640,0,251.0,,2432640.0
45,0.00017766767641210293,8104456,0,251.0,,8104456.0
46,0.0001833913393542825,7748248,0,251.0,,7748248.0
47,0.00019205290968755563,7499192,0,251.0,,7499192.0
48,0.00020249736425542676,7112576,0,251.0,,7112576.0
49,0.0002613598070804428,5525568,0,251.0,,5525568.0
50,0.00023075626692652812,6261152,0,251.0,,6261152.0
51,0.00032322804525362187,4400472,0,251.0,,4400472.0
52,0.0002578554383243423,5528464,0,251.0,,5528464.0
53,0.00022438735996420595,6403056,0,251.0,,6403056.0
54,0.00038321699019043727,3737288,0,251.0,,3737288.0
55,0.0004527103689487764,3184152,0,251.0,,3184152.0
56,0.00029970590331128254,4795776,0,251.0,,4795776.0
57,0.00026218050477132634,5511088,0,251.0,,5511088.0
58,0.0002925366881488867,4866728,0,251.0,,4866728.0
59,0.0002802409687820746,5108544,0,251.0,,5108544.0
60,0.00035105285536389584,4086256,0,251.0,,4086256.0
61,0.0002793701860802714,5179496,0,251.0,,5179496.0
62,0.00021889222804191732,6610120,0,251.0,,6610120.0
63,0.00021525278271135377,6685416,0,251.0,,6685416.0
64,0.00022596877183722199,6401608,0,251.0,,6401608.0
65,0.0002308210581231409,6271288,0,251.0,,6271288.0
66,0.00024342990171435748,5941144,0,251.0,,5941144.0
67,0.00023213289262636886,6232192,0,251.0,,6232192.0
68,0.00023811477655612267,6003408,0,251.0,,6003408.0
69,0.00038601967834071577,3745976,0,251.0,,3745976.0
70,0.00028204357796136426,5115784,0,251.0,,5115784.0
71,0.000292635915108329,4863832,0,251.0,,4863832.0
72,0.00030688959966522294,4668352,0,251.0,,4668352.0
73,0.0003246316281509024,4417848,0,251.0,,4417848.0
74,0.0002940485398660781,4863832,0,251.0,,4863832.0
75,0.0002841864829455619,5017320,0,251.0,,5017320.0
76,0.00033967052245261923,4249880,0,251.0,,4249880.0
77,0.0003245991931738874,4414952,0,251.0,,4414952.0
78,0.000347517139272115,4107976,0,251.0,,4107976.0
79,0.0005076419526153921,2851112,0,251.0,,2851112.0
80,0.0003322862912113276,4349792,0,251.0,,4349792.0
81,0.00033482357307716655,4300560,0,251.0,,4300560.0
82,0.0003439941121867229,4176032,0,251.0,,4176032.0
83,0.00037100935659929274,3871952,0,251.0,,3871952.0
84,0.0003328183821611181,4329520,0,251.0,,4329520.0
85,0.0004071508975405442,3521536,0,251.0,,3521536.0
86,0.0004116120982495087,3505608,0,251.0,,3505608.0
87,0.0009597588987911449,1476960,0,251.0,,1476960.0
88,0.0005733151697361345,2481872,0,251.0,,2481872.0
89,0.0005855950160741525,2452912,0,251.0,,2452912.0
90,0.0005428123007142375,2661424,0,251.0,,2661424.0
91,0.0005618882408120551,2564408,0,251.0,,2564408.0
92,0.00040966411880399167,3525880,0,251.0,,3525880.0
93,0.00034501311854867687,4187616,0,251.0,,4187616.0
94,0.00030461448288664667,4729168,0,251.0,,4729168.0
95,0.0002656146566918556,5444480,0,251.0,,5444480.0
96,0.00023905685920742783,6036712,0,251.0,,6036712.0
97,0.00029687802712838573,4821840,0,251.0,,4821840.0
98,0.0002961777771698171,4846456,0,251.0,,4846456.0
99,0.0005063227662270598,2835184,0,251.0,,2835184.0
100,0.00043354782200605323,3333296,0,251.0,,3333296.0
101,0.00036902111078935846,3903808,0,251.0,,3903808.0
102,0.0002723090962135887,5275064,0,251.0,,5275064.0
103,0.0003058021685613425,4727720,0,251.0,,4727720.0
104,0.0004939391833393514,2929304,0,251.0,,2929304.0
105,0.00035568567356535004,4012408,0,251.0,,4012408.0
106,0.00031026365604489904,4640840,0,251.0,,4640840.0
107,0.00031918386745820147,4511968,0,251.0,,4511968.0
108,0.0003483443407323551,4129696,0,251.0,,4129696.0
109,0.0004445473134134536,3153744,0,251.0,,3153744.0
